algorithm,params,n_clusters,silhouette,calinski_harabasz,davies_bouldin,runtime_s
SOM,k=2,2,0.3703068560963159,5909.740811449375,1.123979035822146,
KMeans,k=2,2,0.38674183933034295,6191.000865504033,1.1118588061178687,0.08908653259277344
DBSCAN,eps=0.03,55,0.4441510846550345,4865.969425806381,0.5460894975559218,0.5900390148162842
