algorithm,params,n_clusters,silhouette,calinski_harabasz,davies_bouldin,runtime_s
KMeans,k=2,2,0.38674183933034295,6191.000865504033,1.1118588061178687,0.08908653259277344
KMeans,k=3,3,0.3723938740940775,4596.062676863722,1.321466855553726,0.07583045959472656
KMeans,k=4,4,0.32151021971955435,3954.506134693567,1.4235848122869403,0.11049437522888184
KMeans,k=5,5,0.31912461339693887,3629.726482103428,1.3037958865002397,0.12332701683044434
KMeans,k=6,6,0.33422175481660915,3383.792856233378,1.2087414482710523,0.13656139373779297
